representation,response,parameter,estimate,se,z,p,sig
xlsr_L21,PC3,Intercept,0.46,0.1235,3.7259,0.0002,True
xlsr_L21,PC3,is_L2,-0.2484,0.1381,-1.7994,0.0719,False
xlsr_L21,PC3,is_male,0.2943,0.1401,2.1015,0.0356,True
xlsr_L21,PC3,is_L2:is_male,0.2538,0.1968,1.2892,0.1973,False
xlsr_L21,PC4,Intercept,-0.0936,0.3026,-0.3094,0.757,False
xlsr_L21,PC4,is_L2,-0.3361,0.3383,-0.9936,0.3204,False
xlsr_L21,PC4,is_male,0.1819,0.3431,0.53,0.5961,False
xlsr_L21,PC4,is_L2:is_male,0.5136,0.4819,1.0657,0.2866,False
xlsr_L21,PC5,Intercept,-1.5836,0.151,-10.4887,0.0,True
xlsr_L21,PC5,is_L2,0.3508,0.1688,2.0781,0.0377,True
xlsr_L21,PC5,is_male,0.526,0.1712,3.072,0.0021,True
xlsr_L21,PC5,is_L2:is_male,-0.1782,0.2406,-0.7406,0.4589,False
